,collectionName,phoneName
0,2020-05-15-US-MTV-1,Pixel4
3488,2020-05-15-US-MTV-1,Pixel4XL
7005,2020-05-28-US-MTV-1,Pixel4
9261,2020-05-28-US-MTV-1,Pixel4XL
11687,2020-05-28-US-MTV-2,Pixel4
14005,2020-05-28-US-MTV-2,Pixel4XL
16314,2020-05-28-US-MTV-2,Pixel4XLModded
17772,2020-06-04-US-MTV-2,Pixel4
19468,2020-06-04-US-MTV-2,Pixel4XL
21169,2020-06-04-US-MTV-2,Pixel4XLModded
22871,2020-06-10-US-MTV-1,Pixel4
24534,2020-06-10-US-MTV-1,Pixel4XL
26196,2020-06-10-US-MTV-1,Pixel4XLModded
27889,2020-06-10-US-MTV-2,Pixel4
29683,2020-06-10-US-MTV-2,Pixel4XL
31488,2020-06-10-US-MTV-2,Pixel4XLModded
33425,2020-08-03-US-MTV-2,Mi8
35168,2020-08-03-US-MTV-2,Pixel4
36913,2020-08-03-US-MTV-2,Pixel4XL
38609,2020-08-13-US-MTV-1,Mi8
40951,2020-08-13-US-MTV-1,Pixel4
43196,2021-03-16-US-MTV-2,Pixel4Modded
45237,2021-03-16-US-MTV-2,SamsungS20Ultra
47563,2021-03-16-US-RWC-2,Pixel4XL
49531,2021-03-16-US-RWC-2,Pixel5
51541,2021-03-16-US-RWC-2,SamsungS20Ultra
53513,2021-03-25-US-PAO-1,Mi8
55235,2021-03-25-US-PAO-1,Pixel4
56961,2021-03-25-US-PAO-1,Pixel4Modded
58683,2021-03-25-US-PAO-1,Pixel5
60408,2021-03-25-US-PAO-1,SamsungS20Ultra
62132,2021-04-02-US-SJC-1,Pixel4
64496,2021-04-02-US-SJC-1,Pixel5
66881,2021-04-08-US-MTV-1,Pixel4
67909,2021-04-08-US-MTV-1,Pixel4Modded
68933,2021-04-08-US-MTV-1,Pixel5
70143,2021-04-08-US-MTV-1,SamsungS20Ultra
71202,2021-04-21-US-MTV-1,Pixel4
72645,2021-04-21-US-MTV-1,Pixel4Modded
74067,2021-04-22-US-SJC-2,SamsungS20Ultra
76391,2021-04-26-US-SVL-2,SamsungS20Ultra
78715,2021-04-28-US-MTV-2,Pixel4
80463,2021-04-28-US-MTV-2,SamsungS20Ultra
82253,2021-04-29-US-MTV-2,Pixel4
83961,2021-04-29-US-MTV-2,Pixel5
85688,2021-04-29-US-MTV-2,SamsungS20Ultra
87446,2021-04-29-US-SJC-3,Pixel4
89425,2021-04-29-US-SJC-3,SamsungS20Ultra
